Format,2.0E,
Memory Length,10000,
IntpDistance,2458,
Trigger Address,5009,
Trigger Level,1.760E+00,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,15,
Label,ACK,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,1.000E+00,
Vertical Position,-1.720E+00,
Horizontal Units,S,
Horizontal Scale,5.000E-05,
Horizontal Position,-5.000E-07,
Horizontal Mode,Window Zoom,
SincET Mode,Real Time,
Sampling Period,5.000E-08,
Horizontal Old Scale,5.000E-05,
Horizontal Old Position,-5.000E-07,
Firmware,V1.06,
Time,28-Apr-26 02:28:48,
Mode,Detail,
Waveform Data,
-2.505000e-04,1.20e-01,
-2.504500e-04,1.20e-01,
-2.504000e-04,1.20e-01,
-2.503500e-04,1.20e-01,
-2.503000e-04,1.20e-01,
-2.502500e-04,1.20e-01,
-2.502000e-04,1.20e-01,
-2.501500e-04,1.20e-01,
-2.501000e-04,1.20e-01,
-2.500500e-04,1.20e-01,
-2.500000e-04,1.20e-01,
-2.499500e-04,1.20e-01,
-2.499000e-04,1.20e-01,
-2.498500e-04,1.20e-01,
-2.498000e-04,1.20e-01,
-2.497500e-04,1.20e-01,
-2.497000e-04,1.20e-01,
-2.496500e-04,1.20e-01,
-2.496000e-04,1.20e-01,
-2.495500e-04,1.20e-01,
-2.495000e-04,1.20e-01,
-2.494500e-04,1.20e-01,
-2.494000e-04,1.20e-01,
-2.493500e-04,1.20e-01,
-2.493000e-04,1.20e-01,
-2.492500e-04,1.20e-01,
-2.492000e-04,1.20e-01,
-2.491500e-04,1.20e-01,
-2.491000e-04,1.20e-01,
-2.490500e-04,8.00e-02,
-2.490000e-04,1.20e-01,
-2.489500e-04,1.20e-01,
-2.489000e-04,1.20e-01,
-2.488500e-04,1.20e-01,
-2.488000e-04,1.20e-01,
-2.487500e-04,1.20e-01,
-2.487000e-04,1.20e-01,
-2.486500e-04,8.00e-02,
-2.486000e-04,1.20e-01,
-2.485500e-04,1.20e-01,
-2.485000e-04,1.20e-01,
-2.484500e-04,1.20e-01,
-2.484000e-04,8.00e-02,
-2.483500e-04,8.00e-02,
-2.483000e-04,1.20e-01,
-2.482500e-04,1.20e-01,
-2.482000e-04,1.20e-01,
-2.481500e-04,1.20e-01,
-2.481000e-04,1.20e-01,
-2.480500e-04,1.20e-01,
-2.480000e-04,1.20e-01,
-2.479500e-04,1.20e-01,
-2.479000e-04,1.20e-01,
-2.478500e-04,1.20e-01,
-2.478000e-04,1.20e-01,
-2.477500e-04,1.20e-01,
-2.477000e-04,1.20e-01,
-2.476500e-04,1.20e-01,
-2.476000e-04,1.20e-01,
-2.475500e-04,1.20e-01,
-2.475000e-04,1.20e-01,
-2.474500e-04,1.20e-01,
-2.474000e-04,1.20e-01,
-2.473500e-04,8.00e-02,
-2.473000e-04,1.20e-01,
-2.472500e-04,1.20e-01,
-2.472000e-04,8.00e-02,
-2.471500e-04,1.20e-01,
-2.471000e-04,1.20e-01,
-2.470500e-04,1.20e-01,
-2.470000e-04,1.20e-01,
-2.469500e-04,1.20e-01,
-2.469000e-04,8.00e-02,
-2.468500e-04,8.00e-02,
-2.468000e-04,1.20e-01,
-2.467500e-04,1.20e-01,
-2.467000e-04,1.20e-01,
-2.466500e-04,1.20e-01,
-2.466000e-04,1.20e-01,
-2.465500e-04,8.00e-02,
-2.465000e-04,1.20e-01,
-2.464500e-04,1.20e-01,
-2.464000e-04,1.20e-01,
-2.463500e-04,1.20e-01,
-2.463000e-04,1.20e-01,
-2.462500e-04,1.20e-01,
-2.462000e-04,1.20e-01,
-2.461500e-04,1.20e-01,
-2.461000e-04,1.20e-01,
-2.460500e-04,1.20e-01,
-2.460000e-04,1.20e-01,
-2.459500e-04,1.20e-01,
-2.459000e-04,1.20e-01,
-2.458500e-04,1.20e-01,
-2.458000e-04,1.20e-01,
-2.457500e-04,1.20e-01,
-2.457000e-04,1.20e-01,
-2.456500e-04,1.20e-01,
-2.456000e-04,1.20e-01,
-2.455500e-04,1.20e-01,
-2.455000e-04,1.20e-01,
-2.454500e-04,1.20e-01,
-2.454000e-04,8.00e-02,
-2.453500e-04,1.20e-01,
-2.453000e-04,1.20e-01,
-2.452500e-04,1.20e-01,
-2.452000e-04,1.20e-01,
-2.451500e-04,1.20e-01,
-2.451000e-04,1.20e-01,
-2.450500e-04,1.20e-01,
-2.450000e-04,1.20e-01,
-2.449500e-04,1.20e-01,
-2.449000e-04,1.20e-01,
-2.448500e-04,1.20e-01,
-2.448000e-04,1.20e-01,
-2.447500e-04,1.20e-01,
-2.447000e-04,1.20e-01,
-2.446500e-04,1.20e-01,
-2.446000e-04,1.20e-01,
-2.445500e-04,1.20e-01,
-2.445000e-04,1.20e-01,
-2.444500e-04,1.20e-01,
-2.444000e-04,1.20e-01,
-2.443500e-04,1.20e-01,
-2.443000e-04,1.20e-01,
-2.442500e-04,1.20e-01,
-2.442000e-04,1.20e-01,
-2.441500e-04,1.20e-01,
-2.441000e-04,1.20e-01,
-2.440500e-04,1.20e-01,
-2.440000e-04,1.20e-01,
-2.439500e-04,1.20e-01,
-2.439000e-04,1.20e-01,
-2.438500e-04,1.20e-01,
-2.438000e-04,1.20e-01,
-2.437500e-04,1.20e-01,
-2.437000e-04,1.20e-01,
-2.436500e-04,1.20e-01,
-2.436000e-04,1.20e-01,
-2.435500e-04,1.20e-01,
-2.435000e-04,1.20e-01,
-2.434500e-04,1.20e-01,
-2.434000e-04,1.20e-01,
-2.433500e-04,8.00e-02,
-2.433000e-04,1.20e-01,
-2.432500e-04,1.20e-01,
-2.432000e-04,1.20e-01,
-2.431500e-04,1.20e-01,
-2.431000e-04,1.20e-01,
-2.430500e-04,1.20e-01,
-2.430000e-04,1.20e-01,
-2.429500e-04,1.20e-01,
-2.429000e-04,1.20e-01,
-2.428500e-04,1.20e-01,
-2.428000e-04,1.20e-01,
-2.427500e-04,1.20e-01,
-2.427000e-04,1.20e-01,
-2.426500e-04,1.20e-01,
-2.426000e-04,1.20e-01,
-2.425500e-04,1.20e-01,
-2.425000e-04,1.20e-01,
-2.424500e-04,1.20e-01,
-2.424000e-04,1.20e-01,
-2.423500e-04,1.20e-01,
-2.423000e-04,1.20e-01,
-2.422500e-04,1.20e-01,
-2.422000e-04,1.20e-01,
-2.421500e-04,1.20e-01,
-2.421000e-04,1.20e-01,
-2.420500e-04,1.20e-01,
-2.420000e-04,1.20e-01,
-2.419500e-04,1.20e-01,
-2.419000e-04,1.20e-01,
-2.418500e-04,1.20e-01,
-2.418000e-04,1.20e-01,
-2.417500e-04,1.20e-01,
-2.417000e-04,1.20e-01,
-2.416500e-04,1.20e-01,
-2.416000e-04,1.20e-01,
-2.415500e-04,1.20e-01,
-2.415000e-04,1.20e-01,
-2.414500e-04,1.20e-01,
-2.414000e-04,1.20e-01,
-2.413500e-04,1.20e-01,
-2.413000e-04,1.20e-01,
-2.412500e-04,1.20e-01,
-2.412000e-04,1.20e-01,
-2.411500e-04,1.20e-01,
-2.411000e-04,1.20e-01,
-2.410500e-04,1.20e-01,
-2.410000e-04,1.20e-01,
-2.409500e-04,1.20e-01,
-2.409000e-04,1.20e-01,
-2.408500e-04,1.20e-01,
-2.408000e-04,1.20e-01,
-2.407500e-04,1.20e-01,
-2.407000e-04,1.20e-01,
-2.406500e-04,1.20e-01,
-2.406000e-04,1.20e-01,
-2.405500e-04,1.20e-01,
-2.405000e-04,8.00e-02,
-2.404500e-04,1.20e-01,
-2.404000e-04,1.20e-01,
-2.403500e-04,1.20e-01,
-2.403000e-04,1.20e-01,
-2.402500e-04,1.20e-01,
-2.402000e-04,1.20e-01,
-2.401500e-04,1.20e-01,
-2.401000e-04,1.20e-01,
-2.400500e-04,1.20e-01,
-2.400000e-04,1.20e-01,
-2.399500e-04,1.20e-01,
-2.399000e-04,8.00e-02,
-2.398500e-04,1.20e-01,
-2.398000e-04,1.20e-01,
-2.397500e-04,1.20e-01,
-2.397000e-04,1.20e-01,
-2.396500e-04,1.20e-01,
-2.396000e-04,1.20e-01,
-2.395500e-04,1.20e-01,
-2.395000e-04,1.20e-01,
-2.394500e-04,1.20e-01,
-2.394000e-04,8.00e-02,
-2.393500e-04,1.20e-01,
-2.393000e-04,1.20e-01,
-2.392500e-04,1.20e-01,
-2.392000e-04,1.20e-01,
-2.391500e-04,1.20e-01,
-2.391000e-04,1.20e-01,
-2.390500e-04,1.20e-01,
-2.390000e-04,1.20e-01,
-2.389500e-04,1.20e-01,
-2.389000e-04,1.20e-01,
-2.388500e-04,8.00e-02,
-2.388000e-04,1.20e-01,
-2.387500e-04,1.20e-01,
-2.387000e-04,1.20e-01,
-2.386500e-04,1.20e-01,
-2.386000e-04,1.20e-01,
-2.385500e-04,1.20e-01,
-2.385000e-04,1.20e-01,
-2.384500e-04,1.20e-01,
-2.384000e-04,1.20e-01,
-2.383500e-04,1.20e-01,
-2.383000e-04,1.20e-01,
-2.382500e-04,8.00e-02,
-2.382000e-04,1.20e-01,
-2.381500e-04,1.20e-01,
-2.381000e-04,1.20e-01,
-2.380500e-04,1.20e-01,
-2.380000e-04,8.00e-02,
-2.379500e-04,8.00e-02,
-2.379000e-04,1.20e-01,
-2.378500e-04,1.20e-01,
-2.378000e-04,1.20e-01,
-2.377500e-04,1.20e-01,
-2.377000e-04,8.00e-02,
-2.376500e-04,1.20e-01,
-2.376000e-04,1.20e-01,
-2.375500e-04,1.20e-01,
-2.375000e-04,1.20e-01,
-2.374500e-04,1.20e-01,
-2.374000e-04,1.20e-01,
-2.373500e-04,1.20e-01,
-2.373000e-04,1.20e-01,
-2.372500e-04,1.20e-01,
-2.372000e-04,1.20e-01,
-2.371500e-04,1.20e-01,
-2.371000e-04,1.20e-01,
-2.370500e-04,1.20e-01,
-2.370000e-04,1.20e-01,
-2.369500e-04,1.20e-01,
-2.369000e-04,1.20e-01,
-2.368500e-04,1.20e-01,
-2.368000e-04,1.20e-01,
-2.367500e-04,1.20e-01,
-2.367000e-04,1.20e-01,
-2.366500e-04,8.00e-02,
-2.366000e-04,1.20e-01,
-2.365500e-04,1.20e-01,
-2.365000e-04,8.00e-02,
-2.364500e-04,8.00e-02,
-2.364000e-04,1.20e-01,
-2.363500e-04,1.20e-01,
-2.363000e-04,1.20e-01,
-2.362500e-04,1.20e-01,
-2.362000e-04,1.20e-01,
-2.361500e-04,1.20e-01,
-2.361000e-04,8.00e-02,
-2.360500e-04,1.20e-01,
-2.360000e-04,1.20e-01,
-2.359500e-04,1.20e-01,
-2.359000e-04,1.20e-01,
-2.358500e-04,1.20e-01,
-2.358000e-04,1.20e-01,
-2.357500e-04,1.20e-01,
-2.357000e-04,1.20e-01,
-2.356500e-04,1.20e-01,
-2.356000e-04,1.20e-01,
-2.355500e-04,1.20e-01,
-2.355000e-04,1.20e-01,
-2.354500e-04,1.20e-01,
-2.354000e-04,1.20e-01,
-2.353500e-04,1.20e-01,
-2.353000e-04,1.20e-01,
-2.352500e-04,1.20e-01,
-2.352000e-04,1.20e-01,
-2.351500e-04,1.20e-01,
-2.351000e-04,1.20e-01,
-2.350500e-04,1.20e-01,
-2.350000e-04,1.20e-01,
-2.349500e-04,1.20e-01,
-2.349000e-04,1.20e-01,
-2.348500e-04,1.20e-01,
-2.348000e-04,1.20e-01,
-2.347500e-04,1.20e-01,
-2.347000e-04,1.20e-01,
-2.346500e-04,8.00e-02,
-2.346000e-04,1.20e-01,
-2.345500e-04,1.20e-01,
-2.345000e-04,1.20e-01,
-2.344500e-04,1.20e-01,
